Time,target,CoP_x,CoP_y,CoP_z,RightA_x,RightA_y,RightA_z,LeftA_x,LeftA_y,LeftA_z,RightS_x,RightS_y,RightS_z,LeftS_x,LeftS_y,LeftS_z,RightGaze-Ray X,RightGaze-Ray Y,RightGaze-Ray Z,GazePosition_x,GazePosition_y,GazePosition_z
3135.0541121,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3135.0661039,960,-0.0138395959511399,-0.00962868481874465,0,-34.6262634411837,83.7339525393295,1652.16628298578,96.5281943360932,97.767984030789,1638.75601260721,-162.355887397957,245.92437400951,1419.76288319843,227.379020841273,241.200025232155,1413.89610965284,0,0,0,0,0,0
3135.0779426,960,-0.0136753069236875,-0.0088089570403099,0,-34.6637817016531,83.7609162557058,1652.18527899433,96.5079774267873,97.7713494880164,1638.79601003269,-162.35430831369,246.00471359338,1419.83362486134,227.44631398664,241.195386737939,1414.03324316126,0,0,0,0,0,0
3135.0894468,960,-0.0125232106074691,-0.0110821664333343,0,-34.5678306025858,83.7622436023158,1652.21842384481,96.5552609343417,97.8022955282801,1638.75514937563,-162.380606486679,246.061710715243,1419.83827853915,227.4467814687,241.162427716456,1414.15157538014,0,0,0,0,0,0
3135.1014929,960,-0.013997077010572,-0.00874500125646591,0,-34.707667230743,83.7081112233921,1652.11542111635,96.584384420382,97.7757913404081,1638.73005132568,-162.35982515681,246.219615560446,1419.85613836735,227.387489257195,241.149451655426,1414.36179380308,0,0,0,0,0,0
3135.1160545,960,-0.013137212023139,-0.0095004454255104,0,-34.6408851233726,83.5130875355708,1652.05892866792,96.5531098788613,97.7950388523722,1638.62275462118,-162.364004449011,246.325089839183,1419.85031005249,227.230229014497,241.167643209039,1414.4952968708,0,0,0,0,0,0
3135.1277109,960,-0.0134783266112208,-0.00929957777261733,0,-34.2943870608197,83.3846414501326,1651.97630657472,96.6165401769555,97.7072483990352,1638.57974879863,-162.417802775657,246.315650195213,1419.82376752995,227.243936632384,241.186272942385,1414.54835262159,0,0,0,0,0,0
3135.1385526,960,-0.0129047771915793,-0.008869269490242,0,-34.3185532321118,83.1303091495191,1651.97603638155,96.6078867922082,97.7171105395341,1638.51720933003,-162.386756245525,246.395922951134,1419.67798637948,227.262442878087,241.204324110279,1414.56593170194,0,0,0,0,0,0
3135.1552533,960,-0.0130074247717857,-0.00938882082700729,0,-34.2388290269836,83.1170774535335,1651.98047022895,96.629040025955,97.6417666049331,1638.5197670145,-162.401051039821,246.454904361175,1419.65069099647,227.217919021909,241.214601906424,1414.55686261644,-0.0436000004410744,0.0698999986052513,0.996599972248077,-28.0900001525879,2.55999994277954,529.159973144531
3135.1674848,960,-0.013757698237896,-0.00971656441688537,0,-33.8656143040006,82.6656306538022,1651.58159792965,96.6149684721208,97.1895793539012,1638.45990470205,-162.571822035475,246.44327654529,1419.59785060714,226.934258865702,241.112471127839,1414.60122650987,0,0,0,0,0,0
